Gender,Perspective,Age_1,Age_2,Pair_ID,Spare
1,1,0,1,427,1
1,1,1,0,428,1
1,1,0,0,428,0
0,1,1,0,429,1
0,1,0,0,429,0
0,1,0,0,430,0
0,1,0,1,430,1
1,1,0,0,431,0
1,1,0,1,431,1
0,1,0,0,432,0
1,1,0,0,432,1
1,1,1,0,433,0
0,1,1,0,433,1
0,1,1,0,434,0
0,1,0,1,434,1
0,1,0,1,435,1
0,1,0,0,435,0
0,1,0,0,436,0
0,1,1,0,436,1
1,1,0,0,437,1
0,1,0,0,437,0
1,1,0,1,438,0
0,1,0,1,438,1
1,1,0,0,439,0
1,1,1,0,439,1
1,1,0,0,440,0
1,1,1,0,440,1
1,1,1,0,441,0
1,1,0,1,441,1
0,1,1,0,442,0
1,1,1,0,442,1
1,1,0,0,443,0
1,1,0,1,443,1
0,1,1,0,444,0
0,1,0,1,444,1
0,1,0,0,445,0
1,1,0,0,445,1
0,1,0,1,446,1
0,1,0,0,446,0
0,1,1,0,447,1
0,1,0,0,447,0
0,1,0,0,448,0
0,1,1,0,448,1
1,1,0,0,449,0
1,1,0,1,449,1
1,1,1,0,450,1
1,1,0,0,450,0
0,1,0,1,451,1
0,1,0,0,451,0
0,1,1,0,452,0
1,1,1,0,452,1
0,1,1,0,453,0
0,1,0,1,453,1
0,1,0,0,454,1
1,1,0,0,454,0
1,1,0,1,455,1
1,1,1,0,455,0
0,1,0,1,456,1
1,1,0,1,456,0
0,1,1,0,457,1
0,1,0,0,457,0
0,1,0,1,458,0
1,1,0,1,458,1
1,1,1,0,459,0
1,1,0,1,459,1
0,1,0,1,460,1
0,1,1,0,460,0
1,1,0,1,461,1
1,1,0,0,461,0
0,1,0,1,462,1
0,1,0,0,462,0
1,1,0,0,463,0
0,1,0,0,463,1
1,1,1,0,464,1
1,1,0,0,464,0
0,1,1,0,465,0
1,1,1,0,465,1
1,1,0,1,466,1
1,1,1,0,466,0
0,1,0,0,467,0
0,1,0,1,467,1
1,1,0,1,468,1
1,1,0,0,468,0
0,1,1,0,469,1
0,1,0,0,469,0
0,1,1,0,470,0
0,1,0,1,470,1
1,1,1,0,471,1
0,1,1,0,471,0
0,1,0,1,472,0
1,1,0,1,472,1
1,1,0,0,473,1
1,1,1,0,473,0
0,1,0,1,474,1
0,1,1,0,474,0
1,1,0,0,475,0
1,1,0,1,475,1
1,1,1,0,476,0
1,1,0,1,476,1
0,1,1,0,477,1
1,1,1,0,477,0
1,1,0,0,478,0
1,1,1,0,478,1
1,1,0,1,479,0
0,1,0,1,479,1
0,1,0,1,480,1
0,1,0,0,480,0
1,1,0,0,481,1
0,1,0,0,481,0
0,1,0,0,482,0
0,1,1,0,482,1
1,1,0,1,483,1
1,1,1,0,483,0
0,1,1,0,484,0
0,1,0,1,484,1
1,1,0,1,485,1
